,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target,decade
18,0.203,0.375,0,-8.781,1,0.0346,0.862,4.89e-05,0.137,0.222,71.94,186520,4,1,1960
19,0.721,0.137,1,-22.806,1,0.952,0.934,0.0001,0.128,0.495,86.454,106867,4,0,1960
20,0.468,0.756,0,-7.37,1,0.0969,0.619,0.956,0.319,0.718,124.191,166147,4,0,1960
21,0.608,0.0113,5,-32.324,1,0.0677,0.934,0.812,0.107,0.15,115.358,175800,4,0,1960
22,0.492,0.47,0,-8.732,1,0.0275,0.703,0.0,0.373,0.559,110.284,188307,3,0,1960
23,0.498,0.796,8,-4.882,1,0.0453,0.607,0.0,0.3,0.906,79.648,157027,4,1,1960
24,0.402,0.789,9,-6.148,1,0.124,0.891,0.0,0.294,0.949,172.346,139440,4,1,1960
25,0.306,0.495,5,-7.663,1,0.0273,0.621,0.0,0.37,0.666,165.462,193733,3,1,1960
26,0.849,0.898,7,-6.064,1,0.0388,0.734,0.865,0.0438,0.967,134.396,120987,4,0,1960
27,0.548,0.566,10,-11.876,1,0.0307,0.672,1.22e-05,0.112,0.805,100.813,187400,4,1,1960
28,0.573,0.671,7,-4.964,1,0.0308,0.495,1.5e-05,0.0487,0.932,132.734,136520,4,1,1960
29,0.625,0.472,2,-11.18,1,0.0387,0.0368,0.0,0.148,0.617,109.302,162151,4,1,1960
30,0.708,0.616,5,-10.827,1,0.198,0.445,0.0,0.299,0.908,177.061,156160,4,1,1960
31,0.614,0.151,1,-13.432,1,0.866,0.636,0.0,0.507,0.463,63.642,1109787,4,0,1960
32,0.604,0.505,9,-12.404,1,0.0487,0.146,0.000286,0.0975,0.707,121.588,124080,4,1,1960
33,0.78,0.429,0,-11.808,0,0.0445,0.217,0.0247,0.11,0.904,146.477,159418,4,0,1960
34,0.711,0.586,10,-9.78,0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,148507,4,0,1960
35,0.567,0.539,11,-13.61,1,0.126,0.292,0.0,0.0594,0.933,138.105,144627,4,0,1960
36,0.775,0.688,3,-12.959,1,0.0699,0.224,0.0411,0.117,0.93,94.143,158508,4,1,1960
37,0.444,0.621,7,-9.138,0,0.271,0.697,2.51e-06,0.108,0.52,141.465,192293,4,1,1960
38,0.371,0.929,9,-5.37,1,0.133,0.646,0.0,0.348,0.836,157.875,145227,4,1,1960
39,0.677,0.661,4,-5.136,1,0.0436,0.114,5.44e-06,0.215,0.801,98.309,152693,4,1,1960
40,0.683,0.464,0,-12.06,1,0.0566,0.0859,0.0632,0.152,0.657,89.62,143373,4,0,1960
41,0.458,0.25,1,-8.087,1,0.0324,0.461,0.0,0.136,0.412,121.074,209080,3,1,1960
42,0.205,0.398,5,-12.075,1,0.0322,0.163,6.48e-05,0.0542,0.0376,108.381,621267,4,0,1960
43,0.475,0.318,8,-12.671,1,0.0487,0.935,0.902,0.0736,0.167,81.85,167900,3,0,1960
44,0.563,0.447,0,-15.218,1,0.0323,0.81,0.00484,0.186,0.743,127.384,213000,4,0,1960
45,0.253,0.04,11,-25.433,0,0.0391,0.661,0.302,0.114,0.0379,93.606,80707,3,0,1960
46,0.122,0.331,11,-12.269,0,0.0339,0.824,0.453,0.105,0.0361,59.859,172200,4,0,1960
47,0.597,0.29,2,-9.367,1,0.0507,0.821,0.0,0.287,0.377,107.706,179733,4,0,1960
48,0.218,0.0625,10,-22.482,1,0.0463,0.991,1.82e-05,0.427,0.0826,79.981,210533,4,0,1960
49,0.543,0.715,9,-5.195,1,0.0579,0.752,0.0,0.107,0.862,99.055,150307,4,1,1960
50,0.585,0.377,5,-13.253,1,0.0407,0.856,0.053,0.105,0.431,120.386,135640,3,1,1960
51,0.562,0.646,0,-10.697,0,0.0532,0.491,0.0,0.902,0.798,98.019,211091,4,0,1960
52,0.586,0.51,9,-9.072,1,0.0379,0.463,0.0,0.221,0.638,119.045,146187,4,1,1960
53,0.486,0.526,11,-9.835,1,0.0415,0.21,0.00183,0.604,0.585,121.157,132467,4,1,1960
54,0.637,0.916,7,-6.95,1,0.0458,0.0139,2.27e-05,0.21,0.506,114.987,247173,4,1,1960
55,0.135,0.324,0,-11.517,0,0.0339,0.887,0.824,0.379,0.0639,91.097,89853,3,0,1960
56,0.567,0.762,3,-12.355,1,0.0306,0.0741,0.415,0.377,0.813,145.513,163213,4,0,1960
57,0.42,0.483,1,-13.608,1,0.033,0.165,0.0,0.111,0.533,93.834,167027,4,1,1960
58,0.624,0.83,5,-4.854,0,0.151,0.618,0.0,0.187,0.828,87.597,131093,4,0,1960
59,0.567,0.927,2,-5.687,1,0.0824,0.126,0.000196,0.123,0.462,113.898,242600,4,0,1960
60,0.306,0.257,10,-10.658,1,0.0309,0.941,0.00654,0.118,0.157,145.148,159760,4,1,1960
61,0.566,0.511,0,-8.13,0,0.0353,0.773,0.0,0.299,0.747,127.417,143573,4,0,1960
62,0.465,0.276,2,-13.184,1,0.0242,0.809,0.000272,0.214,0.233,82.613,161733,4,1,1960
63,0.181,0.294,5,-15.448,1,0.0395,0.987,0.0085,0.113,0.0577,101.506,186160,4,0,1960
64,0.48,0.7,7,-10.989,1,0.209,0.0522,0.0,0.645,0.3,111.388,183520,4,0,1960
65,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,187760,4,1,1960
66,0.438,0.749,11,-10.815,0,0.0852,0.038,0.829,0.0762,0.567,126.825,205600,4,1,1960
67,0.304,0.453,11,-12.143,1,0.045,0.124,8.67e-06,0.332,0.387,94.919,221013,1,0,1960
68,0.192,0.197,1,-14.803,0,0.0347,0.9,0.194,0.31,0.0368,113.336,283573,4,0,1960
69,0.14,0.0282,7,-29.836,0,0.0378,0.982,0.89,0.109,0.0366,141.12,456133,1,0,1960
70,0.562,0.715,2,-8.481,1,0.0272,0.522,0.0,0.185,0.908,102.009,157467,4,1,1960
71,0.494,0.632,10,-12.71,0,0.0271,0.89,0.0144,0.154,0.95,133.49,185480,4,0,1960
72,0.546,0.156,2,-18.601,1,0.0617,0.942,8.83e-06,0.226,0.466,80.106,154667,4,0,1960
73,0.431,0.374,9,-11.045,1,0.119,0.526,1.01e-05,0.94,0.287,134.071,278613,3,1,1960
74,0.275,0.304,0,-12.556,1,0.0362,0.097,0.268,0.135,0.183,168.382,216493,4,0,1960
75,0.368,0.259,6,-11.115,1,0.0277,0.95,6.93e-06,0.115,0.415,82.312,135733,4,1,1960
76,0.555,0.723,7,-11.875,1,0.0536,0.683,0.0,0.115,0.925,169.864,129000,4,1,1960
77,0.701,0.303,3,-15.786,1,0.215,0.926,0.498,0.129,0.317,98.847,51449,4,0,1960
78,0.358,0.352,0,-11.467,1,0.04,0.717,0.895,0.328,0.808,135.425,190467,4,0,1960
79,0.497,0.19,10,-11.957,1,0.0342,0.98,0.908,0.0993,0.349,117.05,309267,4,0,1960
80,0.586,0.213,5,-19.175,0,0.0386,0.769,0.369,0.11,0.505,139.715,215092,4,0,1960
81,0.658,0.405,9,-9.438,1,0.0356,0.242,6.57e-05,0.0943,0.666,119.878,168293,4,1,1960
82,0.805,0.473,10,-12.999,1,0.0507,0.24,0.00516,0.177,0.519,124.618,201200,4,1,1960
83,0.593,0.549,7,-6.591,0,0.0279,0.8,0.0,0.118,0.865,109.465,155893,4,1,1960
84,0.201,0.178,9,-16.461,0,0.0334,0.916,0.906,0.0565,0.0519,80.312,343973,4,0,1960
85,0.256,0.355,11,-12.827,1,0.0434,0.802,0.000187,0.254,0.372,72.275,179920,4,1,1960
86,0.253,0.454,2,-11.041,1,0.0361,0.393,2.69e-06,0.0556,0.541,168.486,185667,3,1,1960
87,0.649,0.208,5,-19.217,1,0.532,0.825,0.0,0.0823,0.483,103.691,123373,5,1,1960
88,0.254,0.183,5,-13.423,1,0.0356,0.568,0.03,0.0952,0.289,183.713,192467,4,0,1960
89,0.569,0.369,10,-10.48,0,0.0269,0.491,7.9e-05,0.103,0.562,113.486,158093,4,0,1960
90,0.566,0.224,5,-15.366,1,0.0342,0.833,0.0,0.292,0.5,115.2,139600,3,1,1960
91,0.696,0.0453,3,-24.822,0,0.483,0.974,0.0,0.13,0.356,108.182,226427,4,0,1960
92,0.433,0.106,6,-19.138,0,0.0364,0.825,9.2e-05,0.108,0.184,143.096,104933,4,0,1960
93,0.63,0.525,2,-11.154,1,0.0269,0.156,2.09e-05,0.369,0.931,89.738,146133,4,0,1960
94,0.292,0.273,7,-22.677,1,0.0535,0.659,0.618,0.177,0.0383,67.354,145747,3,0,1960
95,0.477,0.148,1,-22.719,1,0.038,0.903,0.000376,0.111,0.291,128.251,190373,3,1,1960
96,0.565,0.673,7,-12.46,1,0.0356,0.489,0.00677,0.236,0.895,89.028,187600,4,1,1960
97,0.376,0.456,4,-8.367,1,0.0357,0.644,0.0,0.215,0.512,80.843,109333,4,1,1960
98,0.266,0.33,7,-13.088,0,0.0377,0.456,4.75e-05,0.183,0.313,34.496,194693,4,0,1960
99,0.409,0.705,0,-9.439,1,0.0363,0.311,4.13e-05,0.215,0.87,110.318,194867,4,0,1960
100,0.718,0.672,0,-9.891,0,0.0444,0.265,0.0,0.257,0.926,134.134,317027,4,1,1960
101,0.269,0.15,7,-22.947,1,0.0393,0.905,0.0022,0.784,0.12,89.037,193870,3,0,1960
102,0.741,0.602,0,-10.458,1,0.0374,0.26,0.0,0.0951,0.837,130.1,155027,4,1,1960
103,0.535,0.874,4,-5.698,0,0.0529,0.869,0.0519,0.223,0.944,126.294,189434,4,0,1960
104,0.421,0.149,5,-11.599,1,0.0352,0.874,0.0,0.0971,0.486,89.917,139400,4,0,1960
105,0.563,0.754,6,-7.442,1,0.0676,0.531,0.0,0.379,0.918,156.664,119960,4,1,1960
106,0.512,0.398,6,-8.581,1,0.0269,0.805,0.00434,0.218,0.425,85.61,166307,4,0,1960
107,0.483,0.578,0,-7.506,1,0.0321,0.521,0.000325,0.0864,0.523,107.425,206693,4,1,1960
108,0.38,0.13,2,-17.021,1,0.0306,0.825,0.0,0.14,0.217,100.939,180667,4,1,1960
109,0.593,0.363,5,-13.757,1,0.0345,0.811,0.0,0.212,0.783,131.7,136067,4,1,1960
110,0.503,0.196,7,-14.449,1,0.0644,0.773,0.0,0.677,0.707,80.602,177400,4,0,1960
111,0.34,0.477,2,-12.165,1,0.0476,0.649,0.762,0.193,0.219,178.089,177775,4,0,1960
112,0.553,0.677,4,-10.831,0,0.0712,0.423,0.962,0.185,0.768,153.174,153973,4,1,1960
113,0.604,0.541,5,-8.676,0,0.0634,0.371,0.0,0.808,0.744,132.284,203627,4,1,1960
114,0.432,0.712,0,-7.655,0,0.0839,0.502,0.0096,0.0679,0.685,126.236,187098,4,0,1960
115,0.105,0.195,8,-17.114,0,0.0411,0.877,0.886,0.121,0.313,177.895,136013,3,0,1960
116,0.377,0.126,0,-20.972,1,0.0469,0.943,2.28e-05,0.272,0.223,59.856,159240,3,0,1960
117,0.725,0.435,0,-14.235,1,0.0419,0.154,0.000756,0.188,0.866,123.455,151467,4,1,1960
118,0.247,0.128,1,-19.283,0,0.081,0.98,0.00953,0.101,0.0549,79.95,259240,4,0,1960
119,0.318,0.476,7,-9.534,1,0.029,0.401,0.0,0.6,0.633,173.305,161187,3,1,1960
120,0.518,0.5,4,-9.242,1,0.0289,0.36,4.91e-06,0.345,0.618,126.595,159133,1,0,1960
121,0.536,0.577,2,-8.955,1,0.0314,0.574,0.000126,0.162,0.496,120.992,218680,4,1,1960
122,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,179613,4,1,1960
123,0.71,0.567,4,-9.394,0,0.0399,0.481,3.34e-06,0.0784,0.749,149.319,127293,4,1,1960
124,0.204,0.139,11,-20.115,1,0.0485,0.895,0.391,0.179,0.0767,121.076,158599,5,0,1960
125,0.746,0.255,10,-15.91,1,0.0314,0.555,0.896,0.077,0.572,106.065,141800,4,1,1960
126,0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6,110.583,190080,3,1,1960
127,0.598,0.472,0,-12.547,1,0.0427,0.626,0.0,0.0383,0.72,110.785,127572,4,0,1960
128,0.636,0.275,10,-13.279,1,0.0597,0.89,1.82e-05,0.126,0.343,69.915,210400,4,0,1960
129,0.641,0.695,10,-9.841,1,0.0304,0.0856,1.5e-05,0.177,0.965,132.627,134227,4,1,1960
130,0.529,0.861,11,-10.581,1,0.0784,0.292,0.225,0.314,0.387,96.52,142507,4,1,1960
131,0.548,0.421,0,-10.66,1,0.0362,0.44,0.0,0.363,0.831,144.778,144267,4,1,1960
132,0.423,0.0312,10,-31.131,1,0.0318,0.969,0.487,0.111,0.294,88.895,131440,4,0,1960
133,0.641,0.618,11,-13.79,1,0.0669,0.148,0.0,0.761,0.862,101.047,192838,4,1,1960
134,0.496,0.599,2,-6.639,0,0.034,0.504,0.0,0.176,0.709,170.326,162920,4,1,1960
135,0.585,0.531,6,-10.506,1,0.0536,0.319,0.000758,0.122,0.91,96.959,200267,4,0,1960
136,0.401,0.223,0,-16.15,1,0.0831,0.972,8.71e-06,0.14,0.298,90.601,371067,4,0,1960
137,0.531,0.671,7,-10.819,0,0.0488,0.794,0.508,0.136,0.249,86.153,193359,4,0,1960
138,0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,180893,4,1,1960
139,0.685,0.677,11,-11.172,1,0.0606,0.772,0.00377,0.133,0.901,133.75,128067,4,1,1960
140,0.361,0.28,7,-13.422,1,0.0294,0.821,0.435,0.144,0.213,82.298,160173,3,1,1960
141,0.715,0.542,10,-11.467,1,0.033,0.609,1.74e-06,0.21,0.865,114.864,243293,4,1,1960
142,0.402,0.675,10,-8.872,1,0.0438,0.596,0.0,0.248,0.672,104.505,181640,4,1,1960
143,0.725,0.772,5,-8.814,1,0.0354,0.423,0.701,0.06,0.947,142.601,128373,4,1,1960
144,0.583,0.547,9,-7.787,1,0.0263,0.29,0.0,0.399,0.827,102.946,194000,4,1,1960
145,0.403,0.0248,9,-27.787,1,0.14,0.959,0.0,0.211,0.218,171.132,75107,3,0,1960
146,0.627,0.66,1,-6.86,1,0.033,0.0784,3.83e-06,0.366,0.96,76.621,127827,4,1,1960
147,0.238,0.671,5,-10.104,1,0.0393,0.0112,0.869,0.0824,0.806,147.813,457400,4,0,1960
148,0.408,0.443,1,-14.326,1,0.211,0.944,0.00189,0.809,0.692,130.216,189732,4,0,1960
149,0.507,0.384,8,-15.961,1,0.13,0.96,2.26e-05,0.234,0.322,93.21,158667,4,0,1960
150,0.393,0.395,4,-14.285,1,0.0284,0.725,0.282,0.264,0.498,103.089,133040,4,0,1960
151,0.376,0.453,4,-10.865,0,0.0343,0.312,0.000364,0.0723,0.488,72.296,235933,4,0,1960
152,0.726,0.401,3,-7.524,0,0.0323,0.782,0.323,0.168,0.852,106.476,161973,4,1,1960
153,0.546,0.669,1,-10.922,0,0.0449,0.724,0.000189,0.497,0.725,92.659,145133,4,1,1960
154,0.321,0.227,2,-14.297,1,0.0295,0.849,7.36e-06,0.109,0.385,167.825,216280,4,0,1960
155,0.429,0.732,1,-7.34,1,0.0302,0.749,1.51e-06,0.0831,0.779,167.383,144093,4,1,1960
156,0.467,0.76,0,-8.546,1,0.114,0.0806,0.0,0.103,0.609,109.133,219627,4,0,1960
157,0.476,0.219,8,-13.406,1,0.0296,0.492,0.0,0.201,0.595,103.496,135333,4,1,1960
158,0.245,0.229,7,-4.989,1,0.0286,0.995,0.0736,0.123,0.252,90.589,246973,4,0,1960
159,0.424,0.0514,2,-28.456,0,0.0474,0.758,0.0028,0.11,0.0749,123.267,252920,4,0,1960
160,0.399,0.641,4,-13.212,0,0.0432,0.667,0.507,0.928,0.161,108.661,399640,4,0,1960
161,0.427,0.579,0,-9.509,0,0.0512,0.609,0.000735,0.676,0.896,175.092,160213,4,1,1960
162,0.665,0.619,9,-8.99,1,0.0399,0.831,0.00734,0.0845,0.861,94.156,159827,4,1,1960
163,0.492,0.553,9,-8.6,1,0.0397,0.406,0.000105,0.163,0.431,125.936,167200,4,0,1960
164,0.536,0.536,5,-11.223,1,0.134,0.454,0.0,0.114,0.761,139.517,211240,3,1,1960
165,0.626,0.51,3,-9.285,1,0.37,0.208,0.0,0.0713,0.837,114.091,143093,4,1,1960
166,0.23,0.273,5,-13.277,1,0.0352,0.871,2.21e-06,0.059,0.0868,74.919,218840,4,1,1960
167,0.558,0.626,2,-5.558,0,0.032,0.76,1.26e-06,0.0903,0.753,113.902,133947,4,0,1960
168,0.494,0.445,3,-6.574,1,0.0252,0.472,0.0,0.094,0.4,79.416,213995,4,0,1960
169,0.804,0.364,10,-10.681,1,0.062,0.625,0.899,0.166,0.556,135.008,141013,4,1,1960
170,0.533,0.123,5,-19.255,0,0.111,0.983,4.41e-05,0.352,0.183,85.157,263373,4,0,1960
171,0.315,0.0765,7,-23.794,0,0.0408,0.878,0.849,0.11,0.166,114.812,124787,4,0,1960
172,0.468,0.433,6,-15.088,0,0.0557,0.0306,0.0,0.0974,0.841,81.189,148280,4,0,1960
173,0.389,0.478,1,-11.69,1,0.0475,0.553,0.0239,0.365,0.441,76.588,339013,4,0,1960
174,0.157,0.249,5,-12.711,1,0.0368,0.974,0.00299,0.139,0.0395,87.254,480693,3,0,1960
175,0.213,0.292,5,-14.296,0,0.0322,0.883,3.09e-05,0.165,0.205,70.167,319364,4,0,1960
176,0.629,0.647,6,-12.093,1,0.0358,0.424,0.0,0.298,0.946,78.015,119267,4,1,1960
177,0.661,0.557,4,-8.244,1,0.049,0.262,0.0,0.0557,0.957,125.445,143400,4,1,1960
178,0.668,0.253,4,-13.742,1,0.0438,0.914,0.0,0.102,0.404,105.767,259506,4,0,1960
179,0.527,0.433,5,-9.94,1,0.0282,0.501,0.0,0.149,0.71,81.984,174493,4,1,1960
180,0.404,0.543,8,-17.131,1,0.0813,0.059,0.249,0.183,0.593,87.867,433267,4,0,1960
181,0.693,0.577,7,-6.657,1,0.0407,0.505,0.000397,0.101,0.87,122.869,274751,4,0,1960
182,0.411,0.505,11,-9.282,1,0.0427,0.472,0.0,0.129,0.486,89.803,125133,4,1,1960
183,0.699,0.536,3,-11.186,1,0.0315,0.616,0.0128,0.0876,0.916,137.976,182600,4,1,1960
184,0.551,0.399,4,-10.32,1,0.0288,0.581,0.0,0.24,0.786,123.569,146173,4,0,1960
185,0.322,0.925,4,-3.266,1,0.196,0.487,0.0,0.34,0.596,169.618,196053,4,0,1960
186,0.496,0.609,9,-9.459,0,0.0553,0.946,0.00176,0.268,0.809,113.16,172484,4,0,1960
187,0.389,0.286,6,-8.916,1,0.0312,0.812,0.0,0.106,0.566,83.811,152160,3,0,1960
188,0.376,0.271,2,-13.852,0,0.0416,0.00332,0.636,0.166,0.303,113.528,67765,4,0,1960
189,0.663,0.542,8,-8.842,1,0.0825,0.775,0.0,0.222,0.799,97.581,151293,4,1,1960
190,0.628,0.278,5,-16.662,1,0.0483,0.566,0.0745,0.0685,0.547,104.09,169653,4,0,1960
191,0.555,0.732,0,-13.873,1,0.11,0.635,0.0428,0.139,0.233,137.301,116493,3,0,1960
192,0.233,0.307,11,-9.149,0,0.0324,0.949,1.4e-06,0.12,0.179,137.904,206040,4,0,1960
193,0.453,0.286,0,-12.652,1,0.0436,0.852,0.00161,0.363,0.437,110.565,263880,4,0,1960
194,0.7,0.903,7,-11.68,1,0.12,0.71,2.61e-06,0.23,0.853,150.224,143133,4,1,1960
195,0.555,0.534,0,-8.547,0,0.0304,0.508,0.000241,0.58,0.542,145.304,159453,4,1,1960
196,0.318,0.383,9,-11.943,0,0.0337,0.738,0.0013,0.176,0.632,127.699,160813,3,1,1960
197,0.509,0.341,7,-12.555,1,0.0654,0.519,1.31e-05,0.0867,0.515,130.023,531960,3,0,1960
198,0.428,0.226,0,-11.94,0,0.0349,0.874,0.0,0.138,0.37,101.384,104067,4,0,1960
199,0.414,0.29,1,-12.859,1,0.0339,0.77,0.000227,0.14,0.247,81.853,167480,4,0,1960
200,0.6,0.184,3,-16.172,1,0.0361,0.552,0.028,0.11,0.494,142.6,135093,4,0,1960
201,0.692,0.641,0,-9.621,1,0.0603,0.265,0.000473,0.0642,0.848,121.276,180933,4,1,1960
202,0.526,0.26,5,-13.6,1,0.0319,0.855,0.000406,0.135,0.575,78.626,199093,4,1,1960
203,0.752,0.471,8,-11.308,1,0.0758,0.402,0.0,0.155,0.94,110.226,123333,4,1,1960
204,0.579,0.398,0,-13.318,1,0.0326,0.965,0.941,0.119,0.882,131.041,94407,4,0,1960
205,0.595,0.857,1,-6.89,0,0.163,0.498,0.0,0.355,0.74,127.629,174080,4,1,1960
206,0.612,0.683,10,-8.53,1,0.0272,0.784,0.0,0.305,0.931,106.801,142907,4,1,1960
207,0.619,0.557,7,-10.715,0,0.0351,0.404,0.0,0.181,0.831,116.065,146867,4,1,1960
208,0.482,0.315,9,-8.763,1,0.0374,0.806,1.53e-06,0.331,0.409,119.614,149733,4,1,1960
209,0.388,0.674,7,-11.495,1,0.0721,0.0342,0.305,0.23,0.758,144.338,159867,4,1,1960
210,0.588,0.672,11,-17.278,0,0.0361,0.00256,0.745,0.145,0.801,121.962,172067,4,1,1960
211,0.348,0.324,8,-13.139,1,0.0429,0.983,0.0146,0.21,0.338,104.149,210267,4,0,1960
212,0.458,0.102,4,-13.536,1,0.0349,0.92,0.00425,0.255,0.537,144.248,165773,3,0,1960
213,0.656,0.563,5,-6.844,1,0.0652,0.625,0.0,0.0521,0.966,204.346,118413,4,1,1960
214,0.536,0.784,2,-8.569,1,0.0437,0.256,1.2e-05,0.576,0.797,81.638,147667,4,1,1960
215,0.234,0.693,0,-8.277,1,0.0408,2.82e-05,0.899,0.442,0.541,106.933,181320,4,1,1960
216,0.83,0.561,0,-6.378,1,0.0405,0.667,0.14,0.0573,0.959,111.524,128559,4,0,1960
217,0.626,0.597,0,-7.823,1,0.0432,0.695,0.0,0.125,0.902,125.015,171427,4,0,1960
218,0.644,0.288,0,-12.353,1,0.0298,0.825,0.000776,0.105,0.863,105.608,176587,4,0,1960
219,0.553,0.282,0,-14.02,1,0.0503,0.329,0.0,0.0457,0.908,100.29,80573,4,0,1960
220,0.467,0.486,6,-8.478,0,0.109,0.758,0.124,0.407,0.563,89.132,265733,4,0,1960
221,0.522,0.538,9,-8.509,0,0.0287,0.35,0.00219,0.15,0.755,126.659,192377,4,0,1960
222,0.571,0.597,3,-7.616,1,0.052,0.595,0.0,0.0781,0.824,106.608,142829,4,1,1960
223,0.629,0.579,6,-12.498,1,0.0526,0.693,0.0,0.363,0.826,109.946,102227,4,1,1960
224,0.192,0.137,8,-28.059,1,0.0401,0.93,0.855,0.0776,0.0345,90.129,103640,5,0,1960
225,0.665,0.782,6,-8.438,0,0.0307,0.12,4.19e-06,0.125,0.731,137.453,169000,4,1,1960
226,0.575,0.219,6,-17.493,1,0.0484,0.549,0.0329,0.111,0.464,95.281,170027,4,0,1960
227,0.404,0.0634,2,-20.219,1,0.0998,0.966,0.0,0.14,0.17,179.558,241467,3,0,1960
228,0.563,0.73,8,-10.672,1,0.0392,0.694,0.877,0.131,0.546,130.763,132267,4,0,1960
229,0.495,0.241,0,-15.202,1,0.039,0.963,0.244,0.44,0.476,102.86,291413,4,0,1960
230,0.62,0.17,8,-18.221,1,0.0903,0.689,0.664,0.113,0.315,134.417,143360,4,0,1960
231,0.36,0.124,5,-15.965,1,0.0524,0.708,0.0,0.26,0.342,85.672,191173,4,0,1960
232,0.832,0.53,8,-11.55,1,0.0788,0.404,0.956,0.0669,0.867,81.673,126893,4,1,1960
233,0.606,0.236,3,-11.715,1,0.137,0.875,0.0,0.123,0.589,150.251,127707,3,0,1960
234,0.26,0.659,2,-8.98,1,0.0625,0.116,2.95e-05,0.499,0.538,184.38,149107,4,1,1960
235,0.43,0.685,6,-5.048,0,0.0438,0.636,0.0,0.126,0.646,133.476,105200,4,0,1960
236,0.122,0.237,9,-14.808,0,0.0352,0.962,0.929,0.16,0.0358,88.83,689560,4,0,1960
237,0.342,0.179,0,-18.528,1,0.0652,0.975,0.0215,0.339,0.0483,131.854,203933,3,0,1960
238,0.589,0.649,0,-7.793,0,0.115,0.717,1.37e-05,0.613,0.86,81.315,137932,4,1,1960
239,0.706,0.151,6,-19.914,1,0.0413,0.987,0.628,0.102,0.602,102.429,156027,4,1,1960
240,0.504,0.212,0,-16.756,1,0.0408,0.893,0.22,0.0817,0.233,108.629,383200,4,0,1960
241,0.247,0.135,4,-17.745,0,0.03,0.828,0.00052,0.151,0.194,88.427,157240,3,0,1960
242,0.498,0.00733,10,-35.44,1,0.0404,0.991,0.885,0.156,0.167,120.64,82293,3,0,1960
243,0.506,0.41,11,-9.521,0,0.0275,0.261,0.0,0.178,0.487,104.114,159133,4,1,1960
244,0.514,0.25,5,-16.405,0,0.0519,0.945,0.919,0.112,0.567,99.083,159227,3,1,1960
245,0.545,0.312,4,-11.728,0,0.0366,0.912,0.0,0.166,0.163,118.471,298867,4,0,1960
246,0.359,0.591,5,-8.668,1,0.0561,0.637,0.0,0.281,0.91,183.318,132667,4,1,1960
247,0.508,0.403,8,-12.112,1,0.0381,0.825,0.0,0.347,0.652,113.22,129693,4,0,1960
248,0.576,0.727,4,-9.973,0,0.05,0.702,0.0,0.324,0.751,173.854,141293,4,1,1960
249,0.281,0.418,7,-11.111,1,0.0307,0.625,0.0105,0.462,0.18,106.518,283693,4,1,1960
250,0.775,0.194,5,-16.883,1,0.0731,0.941,0.00685,0.195,0.783,120.764,114773,3,1,1960
251,0.526,0.17,0,-19.159,1,0.0918,0.556,0.473,0.0802,0.302,95.812,417840,4,0,1960
