,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
29,0.47,0.321,7,-13.241,1,0.0474,0.693,0.0,0.35,0.398,106.634,170880,4,54.5032,8,1,1960
30,0.149,0.0206,0,-23.473,1,0.0419,0.939,0.878,0.0888,0.0676,83.544,406027,3,44.70887,17,0,1960
31,0.316,0.358,10,-11.406,1,0.0478,0.832,0.0,0.234,0.59,209.482,139040,4,24.4289,8,1,1960
32,0.426,0.166,0,-17.243,1,0.0317,0.768,5.35e-05,0.181,0.307,108.566,204067,3,26.79086,10,1,1960
33,0.514,0.621,8,-6.825,1,0.055,0.23,0.0,0.29,0.794,153.46,136490,4,54.2077,7,0,1960
34,0.598,0.332,0,-15.576,1,0.088,0.277,0.00083,0.206,0.521,100.132,168267,3,53.83472,8,0,1960
35,0.534,0.384,1,-11.41,1,0.0283,0.772,3.46e-06,0.207,0.374,101.752,148927,4,17.61501,9,1,1960
36,0.518,0.68,7,-7.91,1,0.0348,0.314,0.547,0.264,0.542,133.65,94400,5,39.71846,4,0,1960
37,0.221,0.247,5,-13.955,1,0.0356,0.787,0.0121,0.3,0.0593,76.198,80240,3,28.44717,4,0,1960
38,0.375,0.562,5,-9.687,1,0.0409,0.494,1.41e-05,0.26,0.671,143.842,135160,4,38.77991,9,1,1960
39,0.446,0.236,2,-13.432,1,0.0404,0.486,0.0,0.107,0.375,151.744,204200,3,31.74757,12,1,1960
40,0.388,0.255,0,-16.496,1,0.0332,0.77,0.0737,0.0838,0.25,107.426,165213,3,28.26428,10,0,1960
41,0.512,0.616,9,-12.14,1,0.0347,0.239,0.0,0.2,0.92,82.833,160293,4,33.4422,8,1,1960
42,0.392,0.195,9,-16.022,1,0.0359,0.94,0.0,0.0898,0.359,94.518,194693,3,40.52108,8,0,1960
43,0.521,0.396,5,-12.299,1,0.0463,0.576,0.000893,0.462,0.599,82.628,179600,4,48.36482,8,0,1960
44,0.398,0.325,10,-6.159,1,0.0382,0.812,0.0,0.169,0.454,80.563,120307,4,39.25631,6,1,1960
45,0.547,0.6,5,-9.29,0,0.0399,0.212,0.912,0.339,0.571,97.44,247653,1,42.29712,9,0,1960
46,0.798,0.352,2,-11.015,1,0.129,0.416,0.000953,0.1,0.954,135.019,50680,3,8.38903,3,0,1960
47,0.567,0.585,9,-5.665,0,0.0326,0.411,0.0,0.129,0.72,131.72,177040,4,17.30834,8,1,1960
48,0.697,0.105,9,-23.398,1,0.0827,0.294,0.000897,0.161,0.515,140.548,134200,4,29.55388,8,0,1960
49,0.374,0.439,6,-16.867,0,0.0402,0.791,0.00839,0.169,0.0811,94.248,295933,4,23.75286,15,0,1960
50,0.751,0.531,0,-7.109,1,0.0506,0.0667,9.78e-05,0.173,0.809,121.616,164227,4,21.35679,9,1,1960
51,0.522,0.0902,0,-22.234,1,0.0279,0.691,0.448,0.116,0.288,95.872,142107,5,38.47753,7,0,1960
52,0.532,0.556,8,-8.077,1,0.0635,0.659,0.0,0.315,0.766,116.694,156587,3,41.37161,7,0,1960
53,0.259,0.346,2,-14.652,0,0.0363,0.962,0.827,0.232,0.184,83.2,268333,3,34.13796,12,0,1960
54,0.516,0.442,1,-10.022,1,0.0311,0.881,3.28e-06,0.239,0.703,124.946,133000,4,33.97623,8,1,1960
55,0.295,0.0453,9,-23.785,1,0.0334,0.949,0.000303,0.102,0.115,88.544,137760,4,35.31902,6,0,1960
56,0.583,0.782,1,-4.769,1,0.0579,0.235,0.0,0.221,0.929,143.708,149933,4,35.05451,9,1,1960
57,0.561,0.203,3,-11.931,1,0.0312,0.654,0.0853,0.0997,0.295,131.348,170560,3,31.16751,9,1,1960
58,0.539,0.273,8,-11.254,1,0.0297,0.675,4.4e-05,0.264,0.467,114.433,142067,4,41.43258,8,1,1960
59,0.62,0.747,4,-6.326,0,0.0271,0.0886,4.56e-05,0.335,0.667,115.251,176960,4,47.83454,9,0,1960
60,0.71,0.722,0,-7.659,1,0.053,0.21,1.26e-05,0.297,0.964,141.877,121706,4,91.13673,4,1,1960
61,0.172,0.102,11,-18.787,0,0.0402,0.991,0.0102,0.0959,0.0689,83.633,182600,4,16.55284,10,0,1960
62,0.326,0.452,6,-10.129,1,0.0399,0.904,0.0,0.352,0.608,201.612,134627,3,112.47367,3,1,1960
63,0.582,0.438,8,-16.499,1,0.0388,0.927,0.762,0.511,0.837,119.192,135736,4,28.32144,9,1,1960
64,0.363,0.911,4,-4.757,1,0.0703,0.106,0.0022,0.465,0.555,139.251,144627,4,34.26409,7,1,1960
65,0.553,0.712,1,-5.522,1,0.0288,0.322,0.0,0.357,0.48,113.537,206093,4,52.01127,10,1,1960
66,0.354,0.37,7,-12.657,1,0.0383,0.677,0.00137,0.283,0.557,94.607,158733,4,27.76623,10,0,1960
67,0.649,0.101,3,-17.17,1,0.0403,0.987,0.00393,0.11,0.642,117.622,166000,3,36.78265,8,0,1960
68,0.665,0.277,8,-16.086,1,0.0339,0.844,0.00227,0.119,0.685,111.069,176440,4,28.97776,9,1,1960
69,0.729,0.401,10,-9.458,1,0.0418,0.644,0.0,0.0757,0.549,134.704,184093,4,29.17542,9,0,1960
70,0.728,0.104,8,-18.656,1,0.603,0.696,0.0,0.283,0.493,45.053,42189,4,0.0,2,0,1960
71,0.715,0.739,9,-9.675,1,0.0475,0.8,0.000817,0.301,0.96,119.624,129000,4,46.04421,7,1,1960
72,0.518,0.68,7,-7.91,1,0.0348,0.314,0.547,0.264,0.542,133.65,94400,5,39.71846,4,0,1960
73,0.614,0.0729,3,-21.267,1,0.712,0.884,0.0,0.123,0.476,64.711,139200,3,54.33877,6,0,1960
74,0.583,0.286,6,-8.041,0,0.0258,0.635,0.000276,0.337,0.315,95.263,151267,4,36.73766,8,0,1960
75,0.6,0.29,6,-11.629,1,0.0402,0.582,0.0,0.133,0.496,100.531,132493,4,51.86858,7,1,1960
76,0.611,0.271,6,-14.045,1,0.0365,0.972,0.302,0.0823,0.531,118.962,156453,4,37.1614,6,1,1960
77,0.473,0.527,6,-8.972,0,0.0278,0.524,0.0,0.216,0.619,107.549,196000,4,45.612,9,0,1960
78,0.597,0.381,1,-17.797,1,0.0377,0.905,0.921,0.234,0.821,129.176,126721,4,40.73595,8,1,1960
79,0.491,0.137,9,-17.192,1,0.0376,0.873,0.0676,0.15,0.755,68.935,147213,4,34.79705,6,1,1960
80,0.62,0.28,11,-19.028,1,0.0354,0.81,6.97e-05,0.0983,0.84,122.109,118000,4,37.08085,6,0,1960
81,0.585,0.419,9,-12.382,1,0.256,0.64,0.0,0.613,0.578,90.823,196133,4,25.02872,10,0,1960
82,0.293,0.616,2,-11.377,0,0.0473,0.267,0.0,0.218,0.595,143.078,159160,4,37.81,9,0,1960
83,0.398,0.512,5,-11.604,1,0.0381,0.125,5.01e-06,0.237,0.662,129.047,113000,4,29.32777,6,1,1960
84,0.351,0.523,7,-11.79,1,0.0405,0.737,0.0,0.17,0.462,108.309,134280,4,20.60806,8,1,1960
85,0.326,0.313,0,-16.17,1,0.0348,0.177,0.000569,0.0828,0.344,76.785,302640,4,33.53011,13,1,1960
86,0.708,0.544,6,-7.377,1,0.0503,0.646,0.0,0.121,0.923,135.241,153627,4,35.69264,7,1,1960
87,0.552,0.336,7,-10.712,1,0.0311,0.828,0.0,0.324,0.553,105.479,141467,4,21.84207,11,1,1960
88,0.116,0.0304,8,-26.245,1,0.0447,0.854,0.562,0.622,0.0322,80.186,266173,4,50.7939,11,0,1960
89,0.33,0.858,11,-5.134,0,0.0552,0.052,0.0,0.0752,0.923,161.385,122627,4,27.08669,8,1,1960
90,0.602,0.566,0,-10.499,1,0.0349,0.683,0.0,0.557,0.87,125.157,174640,4,25.65717,9,1,1960
91,0.467,0.714,1,-8.796,1,0.0399,0.498,0.0034,0.046,0.364,144.915,176147,4,26.36551,8,1,1960
92,0.336,0.379,9,-12.99,1,0.0376,0.895,0.000102,0.431,0.385,92.255,164000,4,57.74347,8,1,1960
93,0.33,0.858,11,-5.134,0,0.0552,0.052,0.0,0.0752,0.923,161.385,122627,4,27.08669,8,1,1960
94,0.562,0.511,4,-10.563,1,0.0661,0.702,0.0,0.145,0.671,137.83,152960,4,17.56964,8,0,1960
95,0.373,0.434,0,-14.868,0,0.0476,0.804,0.0315,0.122,0.241,114.923,749067,3,25.21714,30,0,1960
96,0.548,0.564,9,-10.662,1,0.0313,0.481,6.69e-06,0.0417,0.587,141.498,169467,4,24.93434,7,0,1960
97,0.319,0.0654,7,-21.441,1,0.0379,0.811,0.0,0.327,0.674,171.06,83613,3,22.57416,6,0,1960
98,0.212,0.259,2,-16.908,1,0.0471,0.961,0.548,0.0603,0.0764,72.945,123622,4,33.9124,7,0,1960
99,0.625,0.484,7,-11.923,1,0.0282,0.834,0.00086,0.318,0.961,141.326,132400,4,39.50601,7,1,1960
100,0.603,0.487,7,-7.294,1,0.042,0.975,0.795,0.13,0.301,123.0,71822,4,8.08574,3,0,1960
101,0.32,0.24,10,-19.079,1,0.0332,0.696,0.954,0.115,0.457,177.334,112506,4,44.50753,7,0,1960
102,0.758,0.557,5,-10.106,1,0.0453,0.607,0.000218,0.193,0.887,140.795,146053,4,25.86137,8,1,1960
103,0.48,0.225,3,-15.402,1,0.031,0.78,0.0,0.0877,0.58,128.017,217907,4,25.38117,13,1,1960
104,0.841,0.411,0,-10.767,1,0.305,0.347,0.0,0.137,0.926,105.38,145293,4,66.95268,7,1,1960
105,0.41,0.722,10,-7.749,1,0.165,0.2,0.0,0.0676,0.817,178.237,156347,4,27.74349,8,1,1960
106,0.749,0.344,7,-14.687,1,0.0336,0.727,0.0,0.0744,0.946,113.338,157200,4,62.13006,7,1,1960
107,0.555,0.506,5,-10.771,0,0.0326,0.69,0.0,0.0905,0.888,98.557,155667,4,17.39348,7,1,1960
108,0.51,0.588,4,-10.54,1,0.0392,0.124,0.0,0.0584,0.965,111.519,126827,4,55.88169,5,1,1960
109,0.541,0.321,5,-14.418,1,0.0329,0.714,0.00345,0.101,0.549,133.531,200360,4,25.12255,12,0,1960
110,0.424,0.657,0,-5.801,1,0.0289,0.727,0.000162,0.153,0.85,155.56,165427,4,60.6395,7,1,1960
111,0.778,0.409,9,-8.019,1,0.0317,0.817,0.0,0.034,0.918,110.172,146773,4,20.92383,8,0,1960
112,0.256,0.331,10,-15.044,1,0.0384,0.798,6.56e-06,0.535,0.63,188.737,148333,3,51.97574,5,1,1960
113,0.511,0.0833,11,-20.984,0,0.0413,0.945,0.00268,0.149,0.143,122.82,162453,3,37.3726,10,0,1960
114,0.152,0.123,5,-17.664,1,0.0388,0.988,0.393,0.11,0.235,157.107,262707,3,18.06862,14,0,1960
115,0.651,0.172,0,-14.556,1,0.038,0.841,0.000126,0.155,0.445,107.891,147640,3,21.77637,9,1,1960
116,0.452,0.425,7,-13.666,0,0.125,0.261,0.000711,0.263,0.393,135.28,112747,3,41.42286,6,0,1960
117,0.25,0.904,5,-11.969,1,0.846,0.896,0.604,0.885,0.0375,185.847,197200,3,100.49915,8,0,1960
118,0.739,0.403,9,-11.571,1,0.0417,0.679,4.37e-05,0.0517,0.891,97.989,202840,4,20.70234,17,0,1960
119,0.59,0.476,7,-13.13,1,0.0304,0.549,0.000252,0.2,0.763,133.528,135587,4,59.46059,7,0,1960
120,0.87,0.528,4,-13.395,1,0.0738,0.837,3.1e-06,0.367,0.885,118.236,138560,4,27.5458,9,1,1960
121,0.152,0.123,5,-17.664,1,0.0388,0.988,0.393,0.11,0.235,157.107,262707,3,18.06862,14,0,1960
122,0.16,0.112,7,-26.758,1,0.0416,0.934,0.702,0.128,0.112,73.111,263707,3,45.61521,14,0,1960
123,0.531,0.676,7,-9.942,1,0.0412,0.73,0.0,0.0993,0.885,144.958,171693,4,42.18797,8,1,1960
124,0.26,0.0875,5,-20.519,0,0.0372,0.227,0.857,0.132,0.032,68.973,165627,3,45.70995,8,0,1960
125,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,248947,4,29.46417,13,1,1960
126,0.801,0.248,2,-15.871,1,0.0563,0.569,0.0232,0.122,0.578,114.82,113173,4,30.8483,7,1,1960
127,0.333,0.524,2,-8.794,1,0.0339,0.00083,2.5e-06,0.0955,0.579,178.387,189160,3,18.61669,10,0,1960
128,0.31,0.164,1,-17.826,1,0.0478,0.98,0.0246,0.107,0.0449,86.935,451640,4,45.16897,23,0,1960
129,0.408,0.306,1,-10.519,0,0.0289,0.869,0.0,0.179,0.296,80.058,152560,4,39.10951,8,1,1960
130,0.29,0.539,7,-18.75,1,0.0706,0.59,0.846,0.126,0.0821,65.513,56600,3,10.88548,3,0,1960
131,0.702,0.704,9,-10.257,1,0.181,0.0664,0.0,0.225,0.816,116.491,158240,4,53.29203,7,0,1960
132,0.49,0.538,3,-8.575,1,0.0325,0.864,5.67e-05,0.188,0.508,106.948,149080,4,26.52143,9,1,1960
133,0.35,0.0786,4,-25.17,0,0.0294,0.884,0.975,0.0999,0.1,80.41,175867,4,19.82056,12,0,1960
134,0.238,0.524,1,-12.028,1,0.0762,0.83,0.785,0.364,0.234,128.819,136653,4,29.90226,7,0,1960
135,0.405,0.592,11,-12.309,1,0.0698,0.262,0.021,0.166,0.659,82.736,208667,4,76.91806,5,0,1960
136,0.542,0.637,0,-11.418,1,0.0297,0.552,1.52e-06,0.17,0.965,148.72,200027,4,26.96936,10,1,1960
137,0.751,0.689,5,-6.564,1,0.0281,0.0541,0.0,0.281,0.827,125.238,165947,4,31.03432,9,1,1960
138,0.19,0.299,4,-13.129,1,0.0402,0.975,0.0107,0.126,0.0385,154.668,183667,5,64.99065,9,0,1960
139,0.534,0.351,0,-13.906,1,0.0458,0.522,0.0571,0.168,0.444,91.461,200600,4,23.97273,10,1,1960
140,0.607,0.0888,1,-23.689,1,0.941,0.827,2.65e-06,0.118,0.525,66.296,231240,4,25.91611,14,0,1960
141,0.614,0.328,7,-8.232,1,0.0281,0.58,0.0,0.139,0.486,108.68,129960,4,54.16717,7,1,1960
142,0.606,0.661,2,-8.612,1,0.0354,0.571,0.0,0.135,0.866,119.881,156760,4,84.63842,6,1,1960
143,0.589,0.769,9,-10.49,1,0.045,0.133,0.00123,0.566,0.849,146.095,189507,4,23.73917,10,1,1960
144,0.375,0.335,0,-14.296,1,0.037,0.917,0.876,0.225,0.115,112.905,145067,4,27.34771,7,0,1960
145,0.642,0.643,8,-9.421,1,0.0601,0.174,0.0181,0.0936,0.492,135.101,72120,3,13.08871,3,0,1960
146,0.305,0.163,8,-17.136,1,0.0666,0.963,0.000813,0.144,0.172,80.08,380360,4,73.20331,17,0,1960
147,0.587,0.483,3,-13.386,1,0.0569,0.883,0.00198,0.335,0.963,105.267,163093,4,38.92435,9,0,1960
148,0.533,0.00804,2,-29.698,1,0.0535,0.996,0.902,0.122,0.504,140.34,86524,4,24.32886,5,0,1960
149,0.585,0.684,7,-7.133,1,0.0346,0.764,0.00113,0.272,0.737,101.83,143327,4,27.52852,7,0,1960
150,0.524,0.581,10,-7.786,1,0.0307,0.761,1.56e-05,0.225,0.51,120.083,151528,4,67.42984,7,1,1960
151,0.522,0.324,10,-13.359,1,0.0259,0.875,2.59e-05,0.105,0.33,93.493,159973,3,79.68964,7,1,1960
152,0.626,0.476,2,-11.53,1,0.0266,0.707,0.0,0.0947,0.802,98.582,168800,4,26.27944,9,1,1960
153,0.576,0.507,1,-10.423,1,0.0422,0.74,4.14e-05,0.292,0.834,110.474,155240,4,34.70135,6,0,1960
154,0.479,0.849,2,-5.249,1,0.0393,0.000111,0.281,0.159,0.67,107.092,287173,4,85.93246,9,0,1960
155,0.633,0.682,1,-6.14,1,0.0321,0.466,9.19e-05,0.561,0.831,129.804,154027,4,41.7581,7,1,1960
156,0.415,0.631,0,-12.364,1,0.27,0.918,0.0883,0.493,0.437,115.583,247333,3,35.20037,11,0,1960
157,0.49,0.339,0,-8.351,1,0.0375,0.924,0.0,0.183,0.649,120.94,132773,4,30.3837,8,1,1960
158,0.519,0.38,10,-22.881,0,0.0378,0.384,0.889,0.0659,0.72,112.145,579467,4,41.12642,29,0,1960
159,0.334,0.096,9,-20.373,0,0.0521,0.992,4.22e-06,0.118,0.177,128.05,193733,4,28.198,10,0,1960
160,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,167933,4,44.79132,6,1,1960
161,0.122,0.165,4,-15.358,0,0.0393,0.983,0.832,0.117,0.0583,68.608,260640,4,27.04614,13,0,1960
162,0.161,0.00782,10,-39.141,1,0.0432,0.98,0.867,0.0889,0.0561,73.783,204533,4,40.54744,6,0,1960
163,0.27,0.367,5,-12.577,0,0.0315,0.697,0.0,0.22,0.414,86.487,150009,3,18.13633,7,1,1960
164,0.384,0.456,3,-10.317,0,0.028,0.326,2.11e-06,0.208,0.339,94.055,158000,3,32.39375,7,1,1960
165,0.46,0.234,5,-16.003,1,0.0809,0.766,0.0,0.127,0.56,92.45,230933,3,32.43411,10,1,1960
166,0.744,0.628,9,-9.831,0,0.0725,0.701,0.000159,0.296,0.851,123.667,159000,4,18.40118,10,1,1960
167,0.313,0.269,3,-15.619,1,0.0467,0.891,0.27,0.0802,0.0399,117.72,115133,4,33.34147,6,0,1960
168,0.261,0.292,8,-13.311,1,0.0694,0.95,0.00539,0.209,0.141,79.881,289067,4,32.4358,10,0,1960
169,0.419,0.852,5,-9.584,1,0.613,0.905,0.294,0.971,0.0995,108.036,363333,4,43.30355,13,0,1960
170,0.564,0.427,8,-11.126,1,0.0656,0.559,4.84e-05,0.0996,0.645,125.418,353387,4,51.64679,17,0,1960
171,0.449,0.327,4,-9.967,1,0.0349,0.901,0.0,0.411,0.633,104.884,130760,4,39.00301,8,0,1960
172,0.457,0.062,10,-26.212,0,0.0806,0.834,0.00757,0.316,0.319,106.701,121413,4,36.03599,7,0,1960
173,0.549,0.766,0,-4.725,1,0.0623,0.713,0.000162,0.0446,0.955,135.203,160627,4,45.0657,6,0,1960
174,0.701,0.15,11,-18.456,1,0.944,0.885,0.0,0.115,0.462,79.012,386520,3,32.85627,18,0,1960
175,0.7,0.259,10,-16.183,1,0.0495,0.791,2.06e-05,0.0996,0.791,114.17,231213,4,53.37858,10,0,1960
176,0.636,0.256,1,-15.208,1,0.0443,0.346,0.0,0.142,0.544,128.993,114773,4,53.64508,7,1,1960
177,0.594,0.561,0,-11.431,0,0.0546,0.0639,0.00112,0.127,0.655,131.094,195400,4,42.03499,9,1,1960
178,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,219027,4,96.31311,7,1,1960
179,0.441,0.842,5,-8.562,1,0.134,0.207,0.631,0.297,0.522,151.882,114227,4,24.42838,6,0,1960
180,0.473,0.421,3,-10.234,0,0.0558,0.757,0.0,0.145,0.682,161.584,144373,3,23.30047,8,1,1960
181,0.643,0.702,9,-12.751,1,0.0759,0.0704,0.536,0.307,0.591,154.347,194227,4,20.67476,14,1,1960
182,0.501,0.487,0,-9.799,1,0.192,0.399,0.0,0.706,0.575,109.134,180147,4,30.05113,8,1,1960
183,0.365,0.0301,5,-23.042,1,0.0448,0.949,0.0,0.307,0.243,75.393,124894,1,44.04974,5,0,1960
184,0.641,0.564,5,-12.237,1,0.0369,0.539,1.33e-06,0.327,0.966,120.581,167655,4,23.1258,9,1,1960
185,0.426,0.288,9,-18.822,0,0.23,0.98,7.88e-06,0.703,0.653,116.283,127365,4,46.38168,5,0,1960
186,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,180056,4,31.96861,10,1,1960
187,0.631,0.67,2,-4.755,1,0.0336,0.68,0.0,0.167,0.972,138.273,133613,4,50.52414,7,1,1960
188,0.217,0.497,5,-4.965,1,0.033,0.638,1.76e-06,0.336,0.388,200.42,164760,3,32.2605,8,1,1960
189,0.75,0.398,11,-14.516,0,0.0466,0.605,0.0,0.18,0.961,113.516,165333,4,27.84022,8,1,1960
190,0.692,0.726,1,-8.403,0,0.0891,0.776,0.0,0.0736,0.962,102.152,146000,4,22.57142,8,0,1960
191,0.585,0.424,2,-9.461,1,0.0346,0.926,0.0441,0.111,0.649,89.332,147840,4,25.17405,8,0,1960
192,0.371,0.136,5,-18.143,1,0.0307,0.887,0.000426,0.106,0.146,108.209,283133,3,39.08102,12,0,1960
193,0.632,0.716,10,-12.387,0,0.0646,0.581,2.48e-05,0.181,0.935,164.851,102800,4,37.79651,5,1,1960
194,0.571,0.525,0,-7.486,1,0.0368,0.19,0.0,0.675,0.903,104.491,160360,4,61.17848,8,0,1960
195,0.505,0.574,5,-7.024,0,0.0291,0.538,0.0,0.474,0.574,99.56,157653,4,21.00599,9,1,1960
196,0.573,0.816,0,-5.671,1,0.0812,0.0146,0.000701,0.14,0.875,86.698,146427,4,67.50348,5,1,1960
197,0.605,0.529,7,-11.792,1,0.0491,0.0434,0.962,0.0923,0.573,113.308,280507,4,23.44739,13,0,1960
198,0.38,0.0899,0,-18.021,1,0.037,0.967,0.0369,0.089,0.305,60.835,144987,4,28.90354,7,0,1960
199,0.782,0.521,4,-11.705,1,0.0428,0.27,0.0032,0.0608,0.963,99.281,127347,4,27.37276,7,0,1960
200,0.419,0.294,7,-16.098,1,0.0367,0.55,0.00235,0.114,0.184,124.314,347107,4,34.92803,14,0,1960
201,0.507,0.56,1,-8.118,0,0.0473,0.554,0.0,0.0517,0.645,143.259,155960,4,69.27967,8,1,1960
202,0.168,0.274,7,-14.644,1,0.0357,0.995,0.796,0.132,0.0393,136.876,158324,1,35.68868,8,0,1960
203,0.895,0.608,0,-7.224,1,0.0391,0.558,0.14,0.0659,0.96,117.705,154427,4,39.52569,10,1,1960
204,0.414,0.316,11,-11.132,0,0.0251,0.555,1.06e-06,0.357,0.62,93.447,122600,4,51.19346,7,0,1960
205,0.615,0.263,2,-18.027,1,0.0469,0.723,0.0,0.101,0.247,91.737,126733,4,32.34182,7,0,1960
206,0.471,0.342,7,-17.542,1,0.386,0.893,0.0,0.351,0.204,134.892,178133,4,22.11651,8,0,1960
207,0.39,0.429,8,-12.693,1,0.0896,0.946,1.44e-06,0.456,0.43,93.433,119947,4,27.90763,8,0,1960
208,0.244,0.229,0,-13.446,1,0.03,0.711,0.000591,0.0589,0.146,81.708,137827,4,28.59059,8,0,1960
209,0.202,0.0342,5,-24.829,0,0.0984,0.948,0.39,0.161,0.0398,212.9,146467,3,17.35444,7,0,1960
210,0.394,0.18,9,-15.943,1,0.0355,0.965,0.00826,0.118,0.475,107.516,173773,4,21.89732,12,0,1960
211,0.827,0.362,11,-10.333,0,0.038,0.915,0.2,0.112,0.914,92.117,149267,4,35.63554,9,1,1960
212,0.618,0.295,0,-14.892,1,0.0255,0.794,1.3e-05,0.109,0.516,77.095,158800,4,67.71949,8,1,1960
213,0.663,0.881,9,-8.562,1,0.0418,0.619,0.00128,0.481,0.841,126.044,155280,4,25.89221,7,0,1960
214,0.449,0.362,5,-10.38,0,0.0279,0.743,0.0,0.132,0.6,90.822,162160,4,32.88411,7,1,1960
215,0.329,0.623,3,-8.846,1,0.0338,0.68,0.0,0.409,0.906,205.59,154667,4,27.71437,8,1,1960
216,0.562,0.558,4,-3.572,1,0.0453,0.858,0.0,0.107,0.839,174.704,151413,4,46.84935,8,1,1960
217,0.622,0.0596,11,-23.148,1,0.688,0.98,3.8e-06,0.321,0.447,79.627,269613,4,64.9494,9,0,1960
218,0.802,0.647,9,-7.374,1,0.0323,0.55,0.0,0.306,0.852,121.331,131053,4,34.00719,6,1,1960
219,0.491,0.137,9,-17.192,1,0.0376,0.873,0.0676,0.15,0.755,68.935,147213,4,34.79705,6,1,1960
220,0.29,0.568,2,-10.299,1,0.0385,0.412,6.35e-06,0.596,0.532,138.893,131733,4,20.90842,7,1,1960
221,0.144,0.483,10,-11.873,0,0.0359,0.254,0.001,0.138,0.332,209.864,51160,3,22.22824,4,0,1960
222,0.231,0.281,9,-14.295,1,0.0307,0.888,0.000925,0.0717,0.346,100.963,163693,3,44.30278,9,1,1960
